"type","name_en","name_ko","category","subcategory","google_maps_url","naver_map_url","reason","neighborhood","district","lat","lng","priority"
"main","Songjuk","송죽","Restaurant","Abalone porridge","https://maps.app.goo.gl/9m15ewH6ELYWk3SdA","","Classic Korean abalone porridge spot beloved by locals. Comforting and nourishing — a perfect light meal.","Gwanghwamun","Jongno","37.5716","126.9768","1"
"main","Hwangsanga kalguksu","황생가칼국수","Restaurant","Kalguksu, Bossam","https://maps.app.goo.gl/15BADSmVPK9Z4tb66","","Hand-cut noodle soup and bossam in a traditional market vibe. Authentic and hearty.","Gwanghwamun","Jongno","37.5708","126.9754","1"
"main","Daeryeonjip","대련집","Restaurant","Kalguksu, Bossam","https://maps.app.goo.gl/F4fvtoPSDzG9pzCL8","","Warm and rustic kalguksu joint — thick handmade noodles in rich broth with bossam on the side.","Euljiro","Jung","37.5662","126.992","1"
"main","Jinju Hoegwan","진주회관","Restaurant","Soybean-guksu","https://maps.app.goo.gl/k8WLEwvyF7NyUFAx8","","Seoul institution for kongguksu (soybean noodle soup). A must-try summer classic since 1963.","Mugyo-dong","Jung","37.5683","126.9808","1"
"main","Manjok Ohyang Jokbal, City Hall Branch","만족오향족발 시청점","Restaurant","Korean pig feet ('jok bal')","https://maps.app.goo.gl/dNxJg5WUrhG4WrXN6","","Five-spice braised pig feet — crispy outside, tender inside. A beloved late-night Seoul staple.","City Hall","Jung","37.566","126.9784","1"
"main","Hyogye, Euljiro Branch","효계 을지로점","Restaurant","Rosted chicken","https://maps.app.goo.gl/kygdBAgJUSfzUhDL7","","Roasted whole chicken with a Korean twist. Juicy and flavorful, perfect with a cold beer.","Euljiro","Jung","37.566","126.9916","1"
"main","Onjium","온지음","Restaurant","Korean fine dining","https://maps.app.goo.gl/A3MwzrPvvUDtPnNb8","","Korean fine dining experience rooted in royal court cuisine. Elegant presentation and deep flavors.","Anguk","Jongno","37.5792","126.9853","1"
"main","Tosokchon Samgyetang","토속촌 삼계탕","Restaurant","Korean ginseng chicken soup ('Samgyetang')","https://maps.app.goo.gl/gEXtpU5jcDVAbdhc7","","Iconic samgyetang restaurant — ginseng chicken soup in a traditional hanok setting near Gyeongbokgung.","Gyeongbokgung","Jongno","37.5788","126.972","1"
"main","Imun Seolleongtang","이문설렁탕","Restaurant","Korean beef soup ('seoulleongtang')","https://maps.app.goo.gl/icaK5Rvzv5KYNwNn6","","One of Seoul's oldest restaurants (est. 1904). Rich milky ox-bone soup — a true taste of history.","Jongno 5-ga","Jongno","37.5714","127.0001","1"
"main","Miryang Son Mandu","밀양손만두","Restaurant","Dumpling","https://maps.app.goo.gl/hmjwD8xrUKJUnaBG8","","Handmade dumplings with thin skin and generous filling. A hidden local favorite.","Jongno","Jongno","37.571","126.989","1"
